date_from,date_till,Alpha,Delta
2021-03-18,2021-03-18,1474,2
2021-03-19,2021-03-19,1176,0
2021-03-20,2021-03-20,1802,0
2021-03-21,2021-03-21,1832,0
2021-03-22,2021-03-22,2876,0
2021-03-23,2021-03-23,2165,1
2021-03-24,2021-03-24,1787,0
2021-03-25,2021-03-25,2041,1
2021-03-26,2021-03-26,1689,0
2021-03-27,2021-03-27,1503,0
2021-03-28,2021-03-28,1449,1
2021-03-29,2021-03-29,1929,0
2021-03-30,2021-03-30,1498,4
2021-03-31,2021-03-31,1440,3
2021-04-01,2021-04-01,1288,2
2021-04-02,2021-04-02,1133,2
2021-04-03,2021-04-03,1149,6
2021-04-04,2021-04-04,986,4
2021-04-05,2021-04-05,1096,5
2021-04-06,2021-04-06,1216,17
2021-04-07,2021-04-07,1010,12
2021-04-08,2021-04-08,738,7
2021-04-09,2021-04-09,839,5
2021-04-10,2021-04-10,572,4
2021-04-11,2021-04-11,712,11
2021-04-12,2021-04-12,927,11
2021-04-13,2021-04-13,936,8
2021-04-14,2021-04-14,925,22
2021-04-15,2021-04-15,813,29
2021-04-16,2021-04-16,718,27
2021-04-17,2021-04-17,635,34
2021-04-18,2021-04-18,577,17
2021-04-19,2021-04-19,972,63
2021-04-20,2021-04-20,775,49
2021-04-21,2021-04-21,947,55
2021-04-22,2021-04-22,895,61
2021-04-23,2021-04-23,704,56
2021-04-24,2021-04-24,502,57
2021-04-25,2021-04-25,434,64
2021-04-26,2021-04-26,995,90
2021-04-27,2021-04-27,788,80
2021-04-28,2021-04-28,724,105
2021-04-29,2021-04-29,759,88
2021-04-30,2021-04-30,653,143
2021-05-01,2021-05-01,441,126
2021-05-02,2021-05-02,328,129
2021-05-03,2021-05-03,524,149
2021-05-04,2021-05-04,781,195
2021-05-05,2021-05-05,685,263
2021-05-06,2021-05-06,694,259
2021-05-07,2021-05-07,530,279
2021-05-08,2021-05-08,369,224
2021-05-09,2021-05-09,363,249
2021-05-10,2021-05-10,580,455
2021-05-11,2021-05-11,532,367
2021-05-12,2021-05-12,507,416
2021-05-13,2021-05-13,392,246
2021-05-14,2021-05-14,322,304
2021-05-15,2021-05-15,264,321
2021-05-16,2021-05-16,233,311
2021-05-17,2021-05-17,420,702
2021-05-18,2021-05-18,345,779
2021-05-19,2021-05-19,391,770
2021-05-20,2021-05-20,338,706
2021-05-21,2021-05-21,239,618
2021-05-22,2021-05-22,237,678
2021-05-23,2021-05-23,209,673
2021-05-24,2021-05-24,314,1207
2021-05-25,2021-05-25,297,1266
2021-05-26,2021-05-26,315,1254
2021-05-27,2021-05-27,285,1033
2021-05-28,2021-05-28,294,1401
2021-05-29,2021-05-29,197,1518
2021-05-30,2021-05-30,182,1465
2021-05-31,2021-05-31,215,1728
2021-06-01,2021-06-01,264,4593
2021-06-02,2021-06-02,251,4792
2021-06-03,2021-06-03,203,4797
2021-06-04,2021-06-04,338,5123
2021-06-05,2021-06-05,294,4886
2021-06-06,2021-06-06,160,4528
2021-06-07,2021-06-07,242,6240
2021-06-08,2021-06-08,131,4901
2021-06-09,2021-06-09,107,3048
2021-06-10,2021-06-10,61,1837
2021-06-11,2021-06-11,27,1224
2021-06-12,2021-06-12,22,631
2021-06-13,2021-06-13,21,753
2021-06-14,2021-06-14,28,1293
2021-06-15,2021-06-15,46,2557
2021-06-16,2021-06-16,43,2422
2021-06-17,2021-06-17,29,1915
2021-06-18,2021-06-18,47,2847
2021-06-19,2021-06-19,20,1568
2021-06-20,2021-06-20,20,1881
2021-06-21,2021-06-21,30,2449
2021-06-22,2021-06-22,28,3181
2021-06-23,2021-06-23,22,2546
2021-06-24,2021-06-24,30,2936
2021-06-25,2021-06-25,22,2016
2021-06-26,2021-06-26,31,3384
2021-06-27,2021-06-27,21,2617
2021-06-28,2021-06-28,29,3222
2021-06-29,2021-06-29,24,4766
2021-06-30,2021-06-30,25,3507
2021-07-01,2021-07-01,22,3679
2021-07-02,2021-07-02,15,2929
2021-07-03,2021-07-03,11,2138
2021-07-04,2021-07-04,18,3653
