date_from,date_till,Omicron_BA1,Omicron_BA2
2022-02-08,2022-02-14,75,1
2022-02-15,2022-02-21,412,33
2022-02-22,2022-02-28,268,36
2022-03-01,2022-03-07,212,46
2022-03-08,2022-03-14,824,541
2022-03-15,2022-03-21,426,467
2022-03-22,2022-03-28,413,892
2022-03-29,2022-04-04,278,915
2022-04-05,2022-04-11,143,816
2022-04-12,2022-04-18,81,683
2022-04-19,2022-04-25,33,650
2022-04-26,2022-05-02,11,427
2022-05-03,2022-05-09,7,352
2022-05-10,2022-05-16,7,439
2022-05-17,2022-05-23,0,338
2022-05-24,2022-05-30,0,243
