t_Omicron_BA2,c_Omicron_BA2,k_Omicron_BA2_w1,k_Omicron_BA2_w2,k_Omicron_BA2_w3,qt_Omicron_BA2
2022-02-08,1.0,1.4698382780452413,1.3403150592173685,1.2700618610474037,0.056207547911472505
2022-02-08,1.0,1.4698382780452413,1.3403150592173685,1.2700618610474037,0.056207547911472505
2022-02-08,1.0,1.291774326080747,1.3552365830163464,1.2623866775115613,0.11769460249538866
2022-02-08,1.0,1.6864843758250911,1.3272197774967922,1.2768797623491572,0.023885253445283396
2022-02-08,1.0,1.5277727796103475,1.3085960679587696,1.2946940133072684,0.05060460663940761
2022-02-08,1.0,1.4121585000212349,1.3732523190373462,1.245959625085972,0.06263098148058463
2022-02-08,1.0,1.4405146700379095,1.357005782803628,1.222992338585032,0.06071322053726163
2022-02-08,1.0,1.4980722989139705,1.3244998329731081,1.3210891078598404,0.05224985320813861
2022-02-08,1.0,1.6832464078138962,1.3318213079502315,1.2744985690772164,0.02358595491672797
2022-02-08,1.0,1.4498068762860985,1.3156578216995052,1.2830453196013973,0.07043189991256008
